Theorem name,Reusable name,Paper-facing name,File,Status,Informal statement,Paper claim supported,Assumptions,Not claimed,Depends on
`identifiability_gap_extremes`,`exists_same_observable_with_cmi_eq_zero_and_cmi_eq_entropy`,`theorem1_identifiability_gap`,`lean/CausalQIF/Certificates/IdentifiabilityGap.lean`,wrapper,"For any finite `(T, A)` distribution `Q`, if the state type is at least as large as the action type, there are two finite PMFs with the same observable `(T, A)` marginal: one with `I(S; A | T) = 0`, and one with `I(S; A | T) = H(A | T)`.",The finite-discrete core of the output-trace identifiability gap / Theorem 1 narrative.,"Finite types, decidable equality, `Fintype.card A <= Fintype.card S`.","No claim about real-world identifiability, continuous states, or how an auditor learns which PMF generated a deployment.","`CausalQIF.InfoTheory`, especially finite entropy and `I_SA_cond_T`."
`prop2_dynamic_lb`,`probe_action_cmi_le_state_action_cmi_of_condMarkov`,`proposition2_dynamic_lower_bound`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"If a probe `X` reaches action `A` only through state `S` conditional on trace `T`, then `I(X; A | T) <= I(S; A | T)`.",Proposition 2 / conditional-DPI dynamic certificate.,"Finite PMF over `(Probe, State, Action, Trace)` and concrete `condMarkov` predicate.","Does not prove that an arbitrary empirical probe is admissible; the conditional Markov premise must be justified separately.","`InfoTheory.DPI.cond_dpi`."
`condMarkov_deterministicProbePMF`,`condMarkov_deterministicProbePMF`,`proposition2_dynamic_lower_bound_deterministic`,`lean/CausalQIF/Certificates/DualCertificate.lean`,core,"Lifting a `(State, Action, Trace)` PMF with a deterministic readout `probe : State -> Trace -> Probe` automatically satisfies the concrete `condMarkov` predicate.",Markov-premise discharge for conservative dynamic probes.,"Finite PMF over `(State, Action, Trace)` and deterministic probe readout from `(State, Trace)`.","Does not cover probes that read the action, extra hidden variables, or randomized probe noise not included in `(State, Trace)`.","`deterministicProbePMF_apply`, marginal identities for the lifted PMF."
`prop2_dynamic_lb_deterministic_probe`,`probe_action_cmi_le_state_action_cmi_of_deterministicProbe`,`proposition2_dynamic_lower_bound_deterministic`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"For a deterministic readout of `(State, Trace)`, `I(Probe; Action | Trace) <= I(State; Action | Trace)` without an external `condMarkov` premise.",Conservative dynamic lower-bound entry point with the Markov premise discharged by construction.,"Finite PMF over `(State, Action, Trace)` and deterministic probe readout from `(State, Trace)`.","Does not certify arbitrary empirical or randomized probes unless they are represented as deterministic readouts of the modeled state and trace.","`prop2_dynamic_lb`, `condMarkov_deterministicProbePMF`."
`aggregated_dynamic_lb`,`max_probe_action_cmi_le_state_action_cmi_of_markov_probes`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"The maximum over replay, intervention, and proxy lower terms remains bounded by the corresponding maximum of true dynamic relevance terms.",Aggregating several valid dynamic probe classes.,Each probe distribution satisfies `condMarkov`.,"Does not compare probes from different audit abstractions unless their PMFs and traces are already aligned by the caller.","`prop2_dynamic_lb`, order lemmas for `max`."
`static_decomposition`,`static_decomposition`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,core,"The visible/full trace entropy gap decomposes exactly as `H(S | T_tilde) = H(S | T_full) + I(S; M | T_tilde)`.",Trace-gap identity used in the structural budget proof.,"Finite PMF over `(State, VisibleTrace, MissingTrace)`.","Does not itself bound `I(S; M | T_tilde)`; it is only the algebraic decomposition.","Definitions of `H_S_cond_Ttilde`, `H_S_cond_Tfull`, and `I_S_M_cond_Ttilde`."
`prop1_static_ub`,`hidden_trace_entropy_le_cut_capacity`,`proposition1_static_entropic_cut_bound`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"If an external cut bound gives `I(S; M | T_tilde) <= C_cut(Omega)`, then `H(S | T_tilde) <= H(S | T_full) + C_cut(Omega)`.",Proposition 1 / structural cut-set upper budget.,Finite PMF and explicit caller-supplied cut/information-flow bound.,"Does not prove the network cut-set inequality by itself; the cut bound is an explicit premise.","`static_decomposition`."
`prop1_static_ub_bounded`,`hidden_trace_entropy_le_entropic_cap`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"The static state-entropy gap is bounded by the entropy, and therefore log-cardinality, of the missing trace.",Coarse finite-support sanity bound for structural hidden trace entropy.,Finite missing-trace type.,"Not a replacement for the structural cut-set budget; it ignores graph topology and edge capacities.","`static_decomposition`, `I_S_M_cond_Ttilde_le_H_M`, `H_M_le_log_card_M`."
`corollary_additive_ub`,`hidden_trace_entropy_le_sum_cut_capacities`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"Under software orthogonality, the static cut bound can be replaced by an additive edge-sum bound.",Additive min-cut structural budget corollary.,Finite PMF, cut-bound premise, and `software_orthogonal`.,"Does not prove software orthogonality from program source code or runtime traces.","`prop1_static_ub`."
`cut_set_dpi_bound`,`cut_set_dpi_bound`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"After pushing `(S, T, M)` to `(S, Cut, M, T)`, conditional DPI bounds `I(S; M | T_tilde)` by `I(Cut; M | T_tilde)`.",Formal cut-set DPI step in the structural budget chain.,Finite cut variables and `condMarkov (pmf_from_vars P Omega_vars)`.,"Does not prove the cut variable was correctly extracted from a real deployment graph.","`I_original_eq_I_XZ_W_pmf_from_vars`, `cond_dpi`."
`abstract_cut_set_bound`,`abstract_cut_set_bound`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"Combining the cut-set DPI step with a capacity bound yields `I(S; M | T_tilde)` by `C_cut`.",Bridge from topology/DPI to a numeric cut capacity.,`condMarkov` for the pushed PMF and capacity premise `I(Cut; M | T_tilde) <= C_cut`.,"Does not derive the numeric capacity from interface specs.","`cut_set_dpi_bound`."
`prop1_static_ub_from_cut`,`prop1_static_ub_from_cut`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"The extracted cut-set premises imply the final structural state-entropy upper bound.",Convenient end-to-end Lean entry point for Proposition 1 from cut variables.,"Finite PMF, cut-variable map, `condMarkov`, and capacity upper bound.","Does not verify graph extraction, capacity estimation, or logging instrumentation.","`abstract_cut_set_bound`, `prop1_static_ub`."
`cond_dpi`,`cond_dpi`,``,`lean/CausalQIF/InfoTheory/DPI.lean`,core,"For finite PMFs, `condMarkov` implies `I(X; Z | W) <= I(Y; Z | W)`.",Conditional data-processing inequality used by both the dynamic and cut-set certificate routes.,Finite four-variable PMF and concrete algebraic `condMarkov`.,"Does not assert `condMarkov` holds for a deployment; it proves the inequality once the premise is supplied.",Chain-rule identities and nonnegativity of conditional mutual information.
`cond_mutual_info_zero_of_markov`,`cond_mutual_info_zero_of_markov`,``,`lean/CausalQIF/DSeparation/DSepCMIBridge.lean`,core,"A finite Markov chain `A -> B -> C` has `I(A; C | B) = 0`.",Algebraic zero-CMI bridge for three-variable d-separation examples.,Finite PMF and concrete `IsMarkovChain` factorization.,"Does not prove a DAG globally Markov factorizes; it consumes the Markov-chain premise.","`InfoTheory.Conditional.condMutualInfo_eq_zero_of_condIndep`."
`dsep_implies_CI`,`dsep_implies_CI`,``,`lean/CausalQIF/DSeparation/MarkovGenerator.lean`,core,"For a positive finite Markov model, graph d-separation plus local-Markov and graphoid assumptions imply the corresponding conditional-independence equation on finite assignments.",Typed graph-to-statistical bridge.,"Caller supplies a `PositiveMarkovModel`, plus `DSeparationQuery` and `dSeparates` for that query.","Not the full Verma-Pearl global Markov theorem; core graph-to-CI bridge assumptions are resolved via MarkovGenerator -> GlobalMarkov -> UnsafeBridge.","`PositiveMarkovModel`, `localMarkov_dsep_global_CIAlg`, `CIExp_iff_CIAlg_of_positive`."
`condMarkov_of_positiveModel_dsep_fourVar`,`condMarkov_of_positiveModel_dsep_fourVar`,``,`lean/CausalQIF/DSeparation/MarkovGenerator.lean`,core,"For tuple labels `0 = X`, `1 = Y`, `2 = Z`, `3 = W`, a positive Markov model plus `{0} _||_ {2} | {1,3}` implies concrete `condMarkov` on the projected PMF.",DAG-to-DPI bridge used in four-variable cut-set and dynamic certificate chains.,"Finite typed DAG model, `DSeparationQuery`, and `dSeparates` for `{0} _||_ {2} | {1,3}`.","Does not synthesize the d-separation proof or the Markov assumptions automatically.","`dsep_implies_CI`, `condMarkov_of_CIExp_project4`."
`isMarkovChain_of_positiveModel_dsep`,`isMarkovChain_of_positiveModel_dsep`,``,`lean/CausalQIF/DSeparation/DSepCMIBridge.lean`,core,"For labels `0 = X`, `2 = Y`, `1 = Z`, a positive Markov model plus `{0} _||_ {2} | {1}` implies a concrete three-variable Markov-chain equation on the projection.",Three-variable d-separation to Markov-chain bridge.,"Finite typed DAG model, `DSeparationQuery` for `{0} _||_ {2} | {1}`, and `dSeparates`.","Does not prove global Markov semantics from raw graph syntax alone.","`isMarkovChain_of_CIExp_project3`, `dsep_implies_CI`."
`cmi_zero_of_positiveModel_dsep`,`cmi_zero_of_positiveModel_dsep`,``,`lean/CausalQIF/DSeparation/DSepCMIBridge.lean`,core,"In the three-variable layout, positive Markov assumptions and d-separation imply `I(A; C | B) = 0`.",First-arrow bridge from d-separation to CMI-zero claims in the typed 3-tuple setting.,"Finite PMF from a positive Markov model, `DSeparationQuery`, and `dSeparates`.","Does not close the general probabilistic graphical-model theorem.","`isMarkovChain_of_positiveModel_dsep`, `cond_mutual_info_zero_of_markov`."
`dSeparated_of_dSeparated_disjoint`,`dSeparated_of_dSeparated_disjoint`,``,`lean/CausalQIF/DSeparation/DAG.lean`,core,"On the pairwise-disjoint query domain, separation in the moralized ancestral graph implies every trail from `X` to `Y` is blocked by `Z`.",Soundness/completeness direction connecting the graph criterion to trail blocking for valid d-separation queries.,"`X`, `Y`, `Z` are pairwise disjoint.","The unrestricted statement is false; endpoints in `Z` are excluded by the query-domain premise.","`dsep_complete_of_endpoint_disjoint`, `dSeparationGraph_reachable_of_active_trail_disjoint`."
`dsep_complete_of_query`,`dsep_complete_of_query`,``,`lean/CausalQIF/DSeparation/DAG.lean`,core,"The same graph-to-trail d-separation result specialized to the `DSeparationQuery` predicate.",Public query-domain wrapper for d-separation completeness.,`DSeparationQuery X Y Z`.,"Does not cover malformed queries where endpoints are conditioned on.","`dsep_complete_of_endpoint_disjoint`."
`not_forall_dsep_complete`,`not_forall_dsep_complete`,``,`lean/CausalQIF/DSeparation/DAG.lean`,core,"The unrestricted implication `DAG.dSeparated G X Y Z -> dSeparates G X Y Z` is false.",Guards the paper/artifact against overclaiming d-separation outside the standard disjoint query domain.,Uses an explicit finite counterexample.,"Not a negative result about standard d-separation; it only rejects the malformed unrestricted statement.","`dsep_complete_endpoint_in_Z_counterexample`."
`no_eis_autoregressive`,`no_eis_autoregressive`,``,`lean/CausalQIF/Certificates/Screenability.lean`,core,"If the operative state is deterministically recoverable from the trace, no exact endogenous internal-state witness can have residual same-trace variation.",Autoregressive exact-core / zero-cut corollary.,Deterministic screen `Trace -> State` and exact equality `S omega = recon (T omega)`.,"Does not formalize positive-epsilon entropy or CMI conditions; it uses exact finite same-trace surrogates.","`projection_same_trace_eq`, `no_same_trace_projection_variation`."
`no_entropic_eis_autoregressive`,`no_entropic_eis_autoregressive`,``,`lean/CausalQIF/Certificates/EntropicEIS.lean`,core,"If the operative state is deterministically recoverable from the trace, no endogenous finite-Shannon EIS witness can have `0 < H(I | T)`.",Paper-facing autoregressive EIS impossibility for residual autonomy.,"Finite outcome PMF; finite `I`, `A`, and `Trace`; deterministic screen `S = recon (T omega)`; endogeneity `I = chi(S)`.","Exact deterministic theorem only; does not prove quantitative entropy-budget or epsilon-screenability bounds; decision relevance is in the witness but unused by the contradiction.","`mapped_I_determined_by_T_of_screen`, `condEntropy_eq_zero_of_functionallyDetermined`."
`no_internal_witness_trace_recoverability`,`no_internal_witness_under_trace_recoverability`,``,`lean/CausalQIF/Certificates/TraceRecoverability.lean`,wrapper,Reader-facing alias for the exact trace-recoverability impossibility theorem.,Paper-table entry for deterministic trace recoverability.,Same as `no_eis_autoregressive`.,Adds no stronger theorem beyond the alias.,"`no_internal_witness_under_trace_recoverability`."
`internal_route_impossibility_predictability`,`internal_route_impossibility_predictability`,``,`lean/CausalQIF/Certificates/PredictabilityRouteImpossibility.lean`,legacy,"If full state is predictable from trace at error `eps`, then no projection `I = chi(S)` can satisfy the legacy unpredictability-above-`eps_min` surrogate when `eps < eps_min`.",Legacy off-root predictability compatibility theorem; not paper-facing.,"Minimal monotone `ProbSpace`, predictability premise, and `eps < eps_min`.","Not an entropy theorem: it does not prove `H(I | T) > 0` impossibility, sigma-additive `ProbSpace`, causal influence, or CMI decision relevance.","`internal_impossibility_predictability`, `screenability_lemma_predictability`."
`finite_query_decision_impossibility`,`finite_query_decision_impossibility`,``,`lean/CausalQIF/Certificates/FiniteQueryDecisionImpossibility.lean`,core,"No finite-query certifier can be both sound and complete for the global closedness property under the stated stability condition.",Finite-query impossibility core.,Certifier output depends only on a finite queried support, encoded by `FiniteQueryCertifier.stable`.,"Does not rule out randomized, distributional, interactive, or restricted-domain auditors not satisfying the formal certifier interface.","`finite_query_impossibility`, `freshIndex_not_mem`."
`semantic_factorization_iff`,`semantic_closure_iff_quotient_factorization`,``,`lean/CausalQIF/Certificates/QuotientFactorization.lean`,wrapper,"A reward/function respects semantic equivalence exactly iff it factors through the quotient by that equivalence.",Semantic closure as quotient factorization.,A setoid on the example/state type.,"Does not construct the semantic equivalence relation for a real dataset or model.","`semantic_closure_iff`."
`finite_support_cannot_cover_separated_sequence`,`not_finite_cover_of_pairwise_separated`,``,`lean/CausalQIF/Certificates/SeparatedPackingImpossibility.lean`,wrapper,"A finite support cannot `rho`-cover an infinite `gamma`-separated sequence when `rho < gamma / 2`.",Geometric non-covering / separated-packing impossibility.,Metric representation space and `IsGammaSeparatedInjection`.,"Does not prove that a learned representation has such a separated sequence; that is a modeling premise.","`finite_patch_cannot_cover_separated`, `freshIndex_not_mem`."
`fcg_covering_bound`,`fcg_covering_bound`,``,`lean/CausalQIF/Certificates/CoveringBound.lean`,core,"If seen examples `rho`-cover a set and rewards are Lipschitz in normalized representation distance, each covered point has a seen witness with `FCG <= L * rho`.",Covering-to-format-channel-gap bound.,"`IsRhoCover`, Lipschitz reward premise, normalized representation distance, and `L >= 0`.","Does not estimate representation distance or prove empirical cover quality from data.","`GoodFCGSet`, `reprSim_le_one`."
`goodFCGSet_mass_ge_one_sub_eps_of_cover`,`goodFCGSet_mass_ge_one_sub_eps_of_cover`,``,`lean/CausalQIF/Certificates/CoveringBound.lean`,core,"If a high-probability region is covered, then the good-FCG set has probability at least `1 - eps`.",High-probability version of the covering certificate.,Measurable good-FCG set, probability measure, high-probability region, cover and Lipschitz premises.,"Does not show measurability or high-probability coverage from data.","`goodFCGSet_highProb`, `goodFCGSet_mass_ge_one_sub_eps`."
`theorem3_pac_lower_bound`,`pac_lower_bound_from_conditional_terms`,`theorem3_pac_lower_bound`,`lean/CausalQIF/Certificates/PACBounds.lean`,wrapper,"Given the paper statistical derivation for the explicit Fano and missed-cell terms, the combined PAC lower bound is their maximum.",Paper-facing Theorem 3 wrapper for the PAC lower-bound algebraic core with concrete terms from `provenance/fano_bound.md`,"`PACPaperStatisticalDerivation K m alpha tau sigma epsilon delta`.","Does not formalize the Gaussian observation experiment, KL/Fano theorem, conditional missed-cell measure argument, or estimator-to-decoder probability lifting; those remain the paper proof.","`pac_lower_bound_conditional`, `combine_fano_and_missed_cell_bounds`, `pacFanoTerm`, `pacMissedCellTerm`."
`spike_family_separated`,`spike_family_separated`,``,`lean/CausalQIF/Certificates/PACBounds.lean`,core,"The spike reward family is pairwise separated at scale `alpha * tau` under the finite spike distance.",Packing-family separation step in the PAC argument.,"`0 <= alpha * tau`.","Does not model Gaussian observations or sampling.","`spikeL1Distance`, `PairwiseSeparated`."
`pac_success_identifies_index`,`pac_success_identifies_index`,``,`lean/CausalQIF/Certificates/PACBounds.lean`,core,"If a learner succeeds within `epsilon < sep / 4` in a separated family, nearest-neighbor decoding recovers the true index.",Reduction from PAC reward learning success to hidden index recovery.,Pairwise separation, triangle interface, nonnegative losses, and success bound.,"Does not lower-bound sample complexity by itself.","`separated_success_makes_true_unique_nearest`."
`capacity_le_of_kkt`,`capacity_le_of_kkt`,``,`lean/CausalQIF/Certificates/ChannelCapacity.lean`,core,"A KKT-style certificate with per-symbol information bounded by `C` proves `I(Y; Z | W) <= C`.",Capacity-certificate pipeline for cut-set bounds.,Valid `KKT_Certificate` fields: weighted decomposition, per-symbol bounds, nonnegative weights, and weights summing to one.,"Does not construct the KKT certificate for arbitrary channels.","`KKT_Certificate`."
`quantized_vector_entropy_bound`,`quantized_vector_entropy_bound`,``,`lean/CausalQIF/Certificates/QuantizedBound.lean`,wrapper,"A `d`-dimensional `Q`-ary quantized vector has entropy at most `d log₂ Q`.",Interface-budget calculation for finite-resolution vector channels.,"`0 < d`, `0 < Q`, finite PMF on `Fin (Q ^ d)`.","Does not justify the quantization scheme or its empirical error.","`quantized_entropy_bound`, `entropy_le_log_card`."
`linear_chain_cut_set_bound`,`linear_chain_cut_set_bound`,`theorem2_linear_chain_cut_set`,`lean/CausalQIF/Examples/LinearChain.lean`,core,"In the two-state example, the cut-set route proves `I(S; M | T_tilde) <= 1` from a concrete `condMarkov` premise.",Minimal typed deployment sanity check for the structural certificate stack.,"Two-valued cut variable, finite PMF, and concrete `condMarkov`.","Not a general deployment theorem; it is a small case study.","`abstract_cut_set_bound`, `capacity_le_of_kkt`, `I_YZ_W_unit_CutVar2_le_one`."
`linear_chain_cut_set_bound_of_dSeparated`,`linear_chain_cut_set_bound_of_dSeparated`,`theorem2_linear_chain_cut_set`,`lean/CausalQIF/Examples/LinearChain.lean`,core,"The one-bit case-study bound follows from the DAG automation interface when positive model and d-separation assumptions are supplied.",End-to-end example connecting d-separation, Markov bridge, KKT capacity, and cut-set bound.,"`PositiveMarkovModel`, d-separation for `{0} _||_ {2} | {1,3}`, and matching projected cut-variable model.","Does not derive the positive model nor the `project4PMF` equality from raw graph syntax.","`linear_chain_cut_set_bound`, `condMarkov_of_positiveModel_dsep_fourVar`."
`linear_chain_cut_set_bound_from_dag`,`linear_chain_cut_set_bound_of_dSeparated`,``,`lean/CausalQIF/Examples/LinearChain.lean`,wrapper,"The legacy name for `linear_chain_cut_set_bound_of_dSeparated`.",Compatibility shim for historical references.,"`PositiveMarkovModel`, d-separation for `{0} _||_ {2} | {1,3}`, and matching projected cut-variable model.","Does not derive the positive model nor the `project4PMF` equality from raw graph syntax.","`linear_chain_cut_set_bound_of_dSeparated`, `condMarkov_of_positiveModel_dsep_fourVar`."
`dSeparation_implies_conditional_independence`,`CausalQIF.Graph.dSeparation_implies_conditional_independence`,`theorem2a_bridge`,`lean/CausalQIF/Experimental/InfoTheoryBridge.lean`,experimental,Historical bridge name specialized to the typed positive-model API.,Compatibility wrapper for the current d-separation to CI bridge.,"`PositiveMarkovModel`, `DSeparationQuery`, node containment, and `dSeparates`.","Does not provide a closed bridge from raw DAG syntax to generic finite-model conditional independence; it delegates to `dsep_implies_CI`.,"`dsep_implies_CI`."
